original,variante,similitud
CALLE 23 # 45-67,CLL 23 # 45-67,92
KRA 70 # 26A-33,CRA 70 # 26A-33,92
CALLE 10 # 8-30,CLL 10 # 8-30,92
KRA 21 NUM 50-23,CRA 21 NUM 50-23,94
CALLE 60 NUMERO 25-40,CALLE 60 #ERO 25-40,92
CALLE 60 NUMERO 25-40,CLL 60 NUMERO 25-40,95
CALLE 12 NRO 15-99,CLL 12 NRO 15-99,94
KRA 43 NRO 10-12,CRA 43 NRO 10-12,94
CALLE 77 # 8-90,CLL 77 # 8-90,92
CALLE 9 NUMERO 23-19,CLL 9 NUMERO 23-19,95
CALLE 9 NUMERO 23-19,CALLE 9 #ERO 23-19,92
KRA 80 NRO 61-22,CRA 80 NRO 61-22,94
CALLE 40 # 10-10,CLL 40 # 10-10,92
KRA 15 NUMERO 25-25,CRA 15 NUMERO 25-25,95
CALLE 50 NRO 17-11,CLL 50 NRO 17-11,94
KRA 17 NRO 99-31,CRA 17 NRO 99-31,94
CALLE 28 # 16-14,CLL 28 # 16-14,92
CARRERA 7 NUMERO 40-88,CARRERA 7 #ERO 40-88,93
KRA 10 # 20-55,CRA 10 # 20-55,92
CALLE 65 NRO 8-70,CLL 65 NRO 8-70,94
